globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | methodStart | methodEnd
1 | Revision_657/asp.c | 74 | 89 | 1 | 158 | findAspTags | 42 | 198
2 | Revision_657/asp.c | 97 | 112 | 1 | 158 | findAspTags | 42 | 198
13 | Revision_657/eiffel.c | 366 | 375 | 2 | 457 | skipToCharacter | 365 | 375
24 | Revision_657/jscript.c | 288 | 295 | 2 | 602 | skipToCharacter | 287 | 295
14 | Revision_657/sql.c | 468 | 475 | 2 | 736 | skipToCharacter | 467 | 475
61 | Revision_657/vhdl.c | 367 | 374 | 2 | 819 | skipToCharacter | 366 | 374
52 | Revision_657/eiffel.c | 421 | 426 | 3 | 346 | parseNumeric | 404 | 433
53 | Revision_657/fortran.c | 813 | 818 | 3 | 347 | parseNumeric | 796 | 825
15 | Revision_657/eiffel.c | 660 | 664 | 4 | 415 | readToken | 614 | 747
16 | Revision_657/sql.c | 580 | 584 | 4 | 734 | readToken | 524 | 671
62 | Revision_657/vhdl.c | 476 | 480 | 4 | 818 | readToken | 423 | 498
54 | Revision_657/eiffel.c | 729 | 734 | 5 | 415 | readToken | 614 | 747
55 | Revision_657/fortran.c | 1043 | 1048 | 5 | 416 | readToken | 937 | 1053
29 | Revision_657/jscript.c | 208 | 212 | 6 | 582 | deleteToken | 207 | 212
61 | Revision_657/vhdl.c | 356 | 360 | 6 | 800 | deleteToken | 353 | 361
30 | Revision_657/sql.c | 412 | 416 | 6 | 701 | deleteToken | 411 | 416
31 | Revision_657/jscript.c | 240 | 256 | 7 | 713 | makeJsTag | 235 | 257
32 | Revision_657/sql.c | 444 | 460 | 7 | 588 | makeSqlTag | 439 | 461
33 | Revision_657/jscript.c | 298 | 316 | 8 | 596 | parseString | 297 | 316
63 | Revision_657/vhdl.c | 377 | 395 | 8 | 814 | parseString | 376 | 395
36 | Revision_657/sql.c | 478 | 496 | 8 | 728 | parseString | 477 | 496
60 | Revision_657/jscript.c | 355 | 359 | 9 | 600 | readToken | 345 | 443
36 | Revision_657/sql.c | 534 | 547 | 9 | 734 | readToken | 524 | 671
64 | Revision_657/vhdl.c | 433 | 437 | 9 | 818 | readToken | 423 | 498
49 | Revision_657/jscript.c | 395 | 425 | 10 | 600 | readToken | 345 | 443
50 | Revision_657/sql.c | 617 | 647 | 10 | 734 | readToken | 524 | 671
65 | Revision_657/jscript.c | 431 | 440 | 11 | 600 | readToken | 345 | 443
66 | Revision_657/vhdl.c | 486 | 495 | 11 | 818 | readToken | 423 | 498
41 | Revision_657/jscript.c | 482 | 487 | 12 | 601 | skipArgumentList | 460 | 491
57 | Revision_657/sql.c | 767 | 772 | 12 | 794 | skipToMatched | 726 | 776
67 | Revision_657/vhdl.c | 543 | 548 | 12 | 821 | skipToMatched | 511 | 552
56 | Revision_657/jscript.c | 514 | 519 | 12 | 758 | skipArrayList | 493 | 523
41 | Revision_657/jscript.c | 536 | 543 | 13 | 696 | addToScope | 535 | 543
42 | Revision_657/sql.c | 690 | 697 | 13 | 697 | addToScope | 689 | 697
45 | Revision_657/jscript.c | 686 | 697 | 14 | 724 | parseLoop | 612 | 699
46 | Revision_657/sql.c | 939 | 959 | 14 | 593 | parseRecord | 894 | 961
58 | Revision_657/gnu_regex/regex.c | 1777 | 1782 | 15 | NULL | NULL | NULL | NULL
59 | Revision_657/gnu_regex/regex.c | 1792 | 1797 | 15 | NULL | NULL | NULL | NULL
17 | Revision_657/python.c | 202 | 206 | 16 | 612 | skipSpace | 201 | 206
18 | Revision_657/sml.c | 84 | 88 | 16 | 619 | skipSpace | 83 | 88
19 | Revision_657/erlang.c | 58 | 62 | 16 | 566 | skipSpace | 57 | 62
20 | Revision_657/python.c | 210 | 219 | 17 | 719 | parseIdentifier | 209 | 219
21 | Revision_657/erlang.c | 66 | 75 | 17 | NULL | NULL | NULL | NULL
11 | Revision_657/routines.c | 288 | 295 | 18 | 570 | struppercmp | 287 | 295
8 | Revision_657/readtags.c | 106 | 113 | 18 | 528 | struppercmp | 105 | 113
12 | Revision_657/routines.c | 298 | 305 | 19 | 528 | strnuppercmp | 297 | 305
10 | Revision_657/readtags.c | 116 | 123 | 19 | 528 | strnuppercmp | 115 | 123
68 | Revision_657/vhdl.c | 400 | 411 | 20 | 809 | parseIdentifier | 399 | 411
36 | Revision_657/sql.c | 501 | 512 | 20 | 728 | parseIdentifier | 500 | 512
69 | Revision_657/vhdl.c | 533 | 551 | 21 | 821 | skipToMatched | 511 | 552
70 | Revision_657/sql.c | 757 | 775 | 21 | 794 | skipToMatched | 726 | 776
